Date,UV_Index,Temperature_C,Humidity_%,Rainfall_mm,WindSpeed_m/s,AQI,day_of_year_sin,day_of_year_cos,month_sin,month_cos,Temperature_C_lag1,Temperature_C_lag2,Temperature_C_roll7_mean,Temperature_C_roll7_std,Temperature_C_ewm7,Humidity_%_lag1,Humidity_%_lag2,Humidity_%_roll7_mean,Humidity_%_roll7_std,Humidity_%_ewm7,Rainfall_mm_lag1,Rainfall_mm_lag2,Rainfall_mm_roll7_mean,Rainfall_mm_roll7_std,Rainfall_mm_ewm7,WindSpeed_m/s_lag1,WindSpeed_m/s_lag2,WindSpeed_m/s_roll7_mean,WindSpeed_m/s_roll7_std,WindSpeed_m/s_ewm7,AQI_lag1,AQI_lag2,AQI_roll7_mean,AQI_roll7_std,AQI_ewm7
2020-01-07,0.37,14.031037733631882,81.04893530300215,1.5131742882078978,6.561883578848468,182.93736474914257,0.11988119229922722,0.99278824516254,0.49999999999999994,0.8660254037844387,12.587843800632191,12.79734723446729,12.965699801103176,1.2837649433689031,12.876765990100271,70.20433761054196,67.78705435215728,73.7442685160695,5.791701929387985,73.41518851605774,0.009894701520077254,0.0,0.25374182147032304,0.5578045357944708,0.40334867501425614,4.252396889270036,5.600324919631219,4.959090612114446,1.0795181171936805,5.137720552954715,184.33195494468558,172.79757691303155,180.10655605677445,4.106974528518507,180.8284475472485
2020-01-08,0.13,13.171212545085682,86.68074454201759,12.993225936171461,6.083737343627589,135.9769221136498,0.13690605792347524,0.990584035457797,0.49999999999999994,0.8660254037844387,14.031037733631882,12.587843800632191,13.355841589112597,0.6438203274744801,12.950377628846624,81.04893530300215,70.20433761054196,76.65802348767332,6.5004712162227385,76.7315775225477,1.5131742882078978,0.009894701520077254,2.1099169552091035,4.830100811713727,3.5508179903035573,6.561883578848468,4.252396889270036,5.127885322293954,1.1586130663542589,5.3742247506229335,182.93736474914257,184.33195494468558,173.44326742248424,16.9878143138531,169.61556618884882
2020-01-09,0.57,9.908804889279958,72.69198563559759,0.07462457191248957,8.027314167265027,171.31030450549173,0.15389057670406178,0.9880878960910772,0.49999999999999994,0.8660254037844387,13.171212545085682,14.031037733631882,12.931845755438596,1.465217749655826,12.189984443954957,86.68074454201759,81.04893530300215,75.81077695802028,6.587632696932239,75.72167955081017,12.993225936171461,1.5131742882078978,2.11638818625948,4.826877978977182,2.6817696357057903,6.083737343627589,6.561883578848468,5.444757872646595,1.5965555249357695,6.037497104783457,135.9769221136498,182.93736474914257,172.49993962576568,16.88121048830038,170.03925076800954
2020-01-10,0.61,9.463110970755976,68.14392660035924,0.0,7.566807765083211,168.67644010282137,0.17082974322534417,0.985300562686109,0.49999999999999994,0.8660254037844387,9.908804889279958,13.171212545085682,12.285325501571293,1.8650436933542136,11.508266075655213,72.69198563559759,86.68074454201759,74.36597957658002,7.054117606946728,73.82724131319743,0.07462457191248957,12.993225936171461,2.1047740484474784,4.832685118740844,2.0113272267793425,8.027314167265027,6.083737343627589,5.9568419936781325,1.6239048508588905,6.419824769858396,171.31030450549173,135.9769221136498,170.54013881719217,16.32825717365901,169.6985481017125
2020-01-11,0.67,10.055220533936925,60.54344753874766,0.0,5.408246613392126,157.32423693280884,0.1877185654371987,0.9822228566828407,0.49999999999999994,0.8660254037844387,9.463110970755976,9.908804889279958,11.716368243969985,1.8486985217387826,11.14500469022564,68.14392660035924,72.69198563559759,72.44291879748906,8.790224740462389,70.506292869585,0.0,0.07462457191248957,2.0844170711159893,4.842618467011161,1.5084954200845069,7.566807765083211,8.027314167265027,6.214387325302526,1.2993530313663817,6.166930230741829,168.67644010282137,171.31030450549173,167.62211432309022,16.647021258174902,166.6049703094866
2020-01-12,0.62,12.330607435029641,58.86552628809606,0.0,4.85375553216954,158.37548527053,0.2045520661262008,0.9788556850953578,0.49999999999999994,0.8660254037844387,10.055220533936925,9.463110970755976,11.649691129764607,1.8112505205290583,11.44140537642664,60.54344753874766,68.14392660035924,71.16841478833746,10.123457053319571,67.59610122421276,0.0,0.0,2.0844170711159893,4.842618467011161,1.1313715650633802,5.408246613392126,7.566807765083211,6.107734555665142,1.3859131975134789,5.8386365560987565,157.32423693280884,168.67644010282137,165.56181551701857,16.7915694037436,164.54759904974745
2020-01-13,0.46,14.745564354763419,72.26627839692259,9.223188273502695,7.130486993175656,171.58486209206688,0.22132528438243257,0.9752000402445825,0.49999999999999994,0.8660254037844387,12.330607435029641,10.055220533936925,11.957936923211928,2.149533398820292,12.267445121010834,58.86552628809606,60.54344753874766,71.46297775782041,10.120727778177232,68.76364551739022,0.0,0.0,3.400601867113506,5.4042843497819995,3.1543257421732087,4.85375553216954,5.408246613392126,6.518890284794517,1.150719615658691,6.161599165367981,158.37548527053,157.32423693280884,163.74080225235872,15.013811136112322,166.30691481032733
2020-01-14,0.35,13.695965477642407,80.41050227583813,0.1668236924288717,5.341481294872529,180.6980795065592,0.2380332770614856,0.9712569994658314,0.49999999999999994,0.8660254037844387,14.745564354763419,12.330607435029641,11.910069458070572,2.0988060185965223,12.624575210168725,72.26627839692259,58.86552628809606,71.37177303965413,10.02234311757153,71.6753597070022,9.223188273502695,0.0,3.208266067716502,5.5056595578116605,2.4074502297371247,7.130486993175656,4.85375553216954,6.3445471013693835,1.2326535394652973,5.9565696977441185,171.58486209206688,158.37548527053,163.4209043605611,14.55341910880832,169.9047059843853
2020-01-15,0.39,12.377027572110888,76.99809283951834,0.0,5.3410657126452366,172.8046344200774,0.2546711202412287,0.9670277247913204,0.49999999999999994,0.8660254037844387,13.695965477642407,14.745564354763419,11.796614461931316,2.0399094736238212,12.562688300654266,80.41050227583813,72.26627839692259,69.98853708215424,8.026847071228355,73.00604299013123,0.1668236924288717,9.223188273502695,1.3520909339777223,3.4713962523109996,1.8055876723028437,5.341481294872529,7.130486993175656,6.2384511540861896,1.2894939063905997,5.802693701469398,180.6980795065592,171.58486209206688,168.6820061186222,8.285931177203683,170.62968809330832
2020-01-16,0.21,12.74652268136634,84.70061629854861,6.499204231089033,5.400236279284387,155.86523927906035,0.27123391067291003,0.9625134626077081,0.49999999999999994,0.8660254037844387,12.377027572110888,13.695965477642407,12.202002717943657,1.8777427556975737,12.608646895832283,76.99809283951834,80.41050227583813,71.70405574829009,9.79044818654597,75.92968631723558,0.0,0.1668236924288717,2.2698880281458,3.900169784509418,2.978991811999391,5.3410657126452366,5.341481294872529,5.863154312946099,1.0403049610044284,5.702079345923146,172.8046344200774,180.6980795065592,166.47556822913202,9.444777353368027,166.93857588974632
